Grand Regency Hotel Doha,"You're eligible for a Genius discount at Grand Regency Hotel Doha! To save at this property, all you have to do is 
sign in
.


 
Enjoying a central location in Doha, Decorated with soft carpets and large beds, rooms at Grand Regency Hotel-Doha are equipped with satellite TV channels and tea/coffee makers. En suite bathrooms come with courtesy bathrobes and slippers.

Guests can enjoy world-class cuisine in one of the hotel’s establishments, International breakfast, lunch or dinner at Grand Gourmet. The on-site Al Kut Lounge serves European-inspired pastries and coffee brews. No alcoholic drinks are available.

Staff at the 24-hour reception can help plan visits and excursions to the iconic Museum of Islamic Arts or Al Koot Fort, both within a 10-minute drive from the Grand Regency Hotel. Free private parking is available on site.","Al Sadd Area, Doha, Qatar",25.29148047,51.49684399,{},68752,8.5,https://www.booking.com/hotel/qa/grand-regency-doha.en-gb.html
Le Park Hotel,"You're eligible for a Genius discount at Le Park Hotel! To save at this property, all you have to do is 
sign in
.


 
This 3-star hotel in Al-Sadd provides elegantly furnished rooms. A coffee shop and business centre are available, as well as room service.

Le Park’s suites feature separate bedrooms, a kitchenette, living room and bathroom. Each air-conditioned apartment is fitted with a TV with satellite channels, a telephone and a safety deposit box.

The hotel’s restaurant serves various traditional and international dishes. The café of Le Park serves hot and cold beverages all day.

Guests can work out in the Le Park’s gym or relax at the swimming pool.

The hotel provides laptop computers and projectors on request for a fee.  It also offers a salon and spa for men and women, a mini grocery store, foreign currency exchange and laundry service.

Le Park Hotel is about 18 km from New Doha International Airport and just 300 metres from Lulu Centre Shopping Mall.","Jawaan Street, Al Sadd., 24835 Doha, Qatar",25.29071413,51.49669647,{},69141,7.8,https://www.booking.com/hotel/qa/sehati-suit.en-gb.html
Sheraton Grand Doha Resort & Convention Hotel,"Located on a private beach overlooking the Arabian Gulf, this 5-star hotel is set in the city center of Doha. It has direct access to a private beach, 7 dining outlets and a temperature-controlled swimming pool.

The rooms at the Sheraton Grand Doha Resort & Convention Hotel all feature a balcony with views of the sea, city skyline or the resort grounds. They all offer natural lighting through floor-to-ceiling windows. In-room amenities include a flat-screen TV with satellite channels, a desk, and a tea/coffee maker.

The Sheraton Grand Doha Resort & Convention Hotel’s 7 restaurants offer Middle Eastern, Italian and Asian specialities as well as themed buffets and beachfront dining. The hotel’s rooftop restaurant offers Arabic cuisine and scenic views.

Guests of the Sheraton Grand Doha Resort & Convention Hotel can enjoy a range of leisure and recreational facilities, including tennis courts, squash courts and a gym featuring state-of-the-art equipment. The property offers free private parking on site.

The Sheraton Grand Doha Resort and Convention Hotel is located in West Bay, 2 km from the City Center Shopping Mall and 20 minutes from the Hamad International Airport.","Al Corniche Street, Doha, Qatar",25.31850287,51.53598547,{},69994,8.8,https://www.booking.com/hotel/qa/sheraton-doha-resort-convention.en-gb.html
Al Liwan Suites,"You're eligible for a Genius discount at Al Liwan Suites! To save at this property, all you have to do is 
sign in
.


 
Just a 10-minute drive from Doha International Airport, Al Liwan Suites offers modern suites with a kitchenette. Facilities include an outdoor pool, a fitness centre, and a sauna.

The air-conditioned suites at Al Liwan are decorated with warm colours and wooden furniture. All suites have a spacious living room with a smart TV, a kitchenette with a microwave, and a bathroom.

The Al Liwan Restaurant serves oriental and international cuisine. The poolside café offers snacks, Oriental and international and refreshing drinks. Room service is available as well.

Free WiFi is available in Al Liwan’s business centre. The hotel also offers a 24-hour reception, currency exchange, and car rental.

The Qatar National Museum is 1.9 km from Al Liwan Suites, and the Doha Corniche is 2.5 km away. Free private parking is available on site.","27 Umm Ghowailina Street, Doha, Qatar",25.27536212,51.54688999,{},71432,7.8,https://www.booking.com/hotel/qa/al-liwan-suites.en-gb.html
Plaza Inn Doha,"You're eligible for a Genius discount at Plaza Inn Doha! To save at this property, all you have to do is 
sign in
.


 
This 4-star hotel is located near the Corniche, and is a 10-minute drive from Hamad International Airport. It has an outdoor pool, and offers elegant guestrooms with free wired internet, and satellite TV.

Rooms at Plaza Inn Doha feature luxury bedding and large windows with panoramic views of the city and marina. They have air conditioning, and come equipped with a minibar, as well as tea-and-coffee making facilities.

The Bollywood Restaurant serves Indian cuisine, and specialities like Tandoori Jheenga, and Paneer Tikka. The Atrium Restaurant offers international cuisine, and the lobby lounge serves light meals and pastries.

Plaza Inn Doha guests can relax in a sun lounger by the pool, or visit the fitness centre which includes free weights.

Plaza Inn Doha is situated 4.3 km from the City Centre Shopping Mall.","Old Salata Area, Al Meena Street, Doha, Qatar",25.28746927,51.54371291,{},71488,7.8,https://www.booking.com/hotel/qa/doha-seef.en-gb.html
W Doha,"Just 200 metres from Corniche Promenade and City Center Shopping Mall, this design hotel offers stylish rooms with satellite TV. It features an outdoor pool, spa centre and on-site restaurants.

The air-conditioned rooms at W Doha are equipped with an iPod docking station, minibar, hairdryer and tea/coffee-making facilities. Each has a work desk and a private bathroom with bathtub.

W Doha offers several dining options, covering both regional and international cuisine. Guests can relax at the poolside bar or enjoy a cocktail.

Guests can have a massage and try specialised health treatments at Bliss Spa. Lounge pools, sauna and a steam room are also available.

The pet-friendly W Doha is less than 20.7 km away from Hamad International Airport. Free private on-site parking is available.","West Bay, Doha, Qatar",25.32886018,51.52989686,{},71658,8.8,https://www.booking.com/hotel/qa/w-doha-qatar.en-gb.html
"InterContinental Doha Beach & Spa, an IHG Hotel","Located on its own private beach, the InterContinental Doha Beach & Spa, an IHG Hotel Hotel offers 5-star luxury in the West Bay area of Doha. The InterContinental has a large outdoor swimming pool, and guests can enjoy free WiFi throughout the property and rooms.

The lavish hotel features flood-lit tennis courts, squash courts and beach volleyball. The Bay Club is the hotel's fitness centre and overlooks the pool area.

The InterContinental Doha Beach & Spa, an IHG Hotel offers rooms with cable TV. Many of the rooms offer views of the Arabian Gulf and some have a seating area.

Younger guests can have fun at the outdoor children’s pool and playground. There is also an indoor play room with games and activities for children.

The hotel offers 5 restaurants serving international and local cuisine, from caviar to steaks. There are also 2 bars on site and guests can enjoy champagne and traditional French chocolates.

Katara is less than 1 km away from the property. Free private parking is provided on site. Nearby attractions include The Pearl Qatar, 3 km away.","Al Isteqlal Road, Doha, Qatar",25.34824866,51.52933896,{},72672,8.8,https://www.booking.com/hotel/qa/intercontinental-doha.en-gb.html
Somerset West Bay Doha,"You're eligible for a Genius discount at Somerset West Bay Doha! To save at this property, all you have to do is 
sign in
.


 
Set in a striking monolith high-rise, Somerset is situated in the diplomatic area of Doha, on the Corniche waterfront. Surrounded by embassies, it is a short walk to the City Centre Mall and Doha Exhibition and Convention Centre which hosts annual business events such as City Scape and Qatar Motor Show.

Serviced apartments at Somerset West Bay are designed with contemporary interiors and modern fittings. Each apartment has living and dining areas, and fully equipped kitchens. Each also features home entertainment systems and a laundry area.

Guests can prepare their own meals or enjoy typical Middle Eastern specialities at the restaurant of the hotel. Adults can work out in the functional gym, while the little ones can play at the on-site playground.

Popular nearby attractions include the iconic Museum of Islamic Art designed by I.M. Pei and Doha’s Sport City, hosting 2022 FIFA World Cup.  Internet is available throughout the Somerset West Bay hotel and free parking is offered.","Diplomatic Area,, Doha, Qatar",25.32910261,51.53084636,{},73835,8.5,https://www.booking.com/hotel/qa/somerset-west-bay-doha.en-gb.html
La Cigale Hotel Managed by Accor,"La Cigale Hotel offers accommodations with free WiFi, a wellness center with 6 treatment rooms. It is a 30-minute drive from Hamad International Airport.

All rooms have deluxe bedding and amenities including 40-inch interactive flat-screen TV with cable channels and keyboard are provided for each room.

At Le Central Restaurant, guests can enjoy light Mediterranean cuisines from its à la carte menu. Sky View bar, which is located on the 11th floor, features specialty wines and panoramic city views.

La Cigale Hotel is 3.6 km away from Corniche Road and its beachfront cafés and attractions. Doha’s shopping venues and centers are less than 10 minutes’ drive away.","60 Suhaim Bin Hamad Street, Al Sadd Area, Doha, Qatar",25.2799558,51.50732875,{},74596,8.1,https://www.booking.com/hotel/qa/la-cigale.en-gb.html
Retaj Al Rayyan,"You're eligible for a Genius discount at Retaj Al Rayyan! To save at this property, all you have to do is 
sign in
.


 
Situated in Doha’s Al Dafna business district, this 4-star hotel offers views over the Arabian Gulf and West Bay district. The modern rooms come with LCD TVs. Free Wi-Fi is available in public areas.

SAHAB restaurant is elegantly decorated to reflect the rich history of Qatar, and serves extensive buffets and à la carte menus.
The health club of Retaj Al Rayyan includes a sauna and a hot tub. A fully equipped gym with professional trainers is available.

Retaj Al Rayyan’s rooms come equipped with satellite TV and minibars. The bathrooms include bathroom amenities, including a bathrobe and slippers. Some floors are dedicated to women and families.

Retaj hotel is only 22 minutes’ drive from Hamad International Airport and a short walking distance to Doha Convention Center Tower and the City Center Mall.","P.O. Box 25556 Doha , Dafna, Diplomatic District, 25556 Doha, Qatar",25.32783952,51.53794751,{},74659,8,https://www.booking.com/hotel/qa/retaj-al-rayyan.en-gb.html
